Adipose Tissue (n=1204)|MIN	Adipose Tissue (n=1204)|Q1	Adipose Tissue (n=1204)|Q2	Adipose Tissue (n=1204)|Q3	Adipose Tissue (n=1204)|MAX	Muscle (n=803)|MIN	Muscle (n=803)|Q1	Muscle (n=803)|Q2	Muscle (n=803)|Q3	Muscle (n=803)|MAX	Blood Vessel (n=1335)|MIN	Blood Vessel (n=1335)|Q1	Blood Vessel (n=1335)|Q2	Blood Vessel (n=1335)|Q3	Blood Vessel (n=1335)|MAX	Heart (n=861)|MIN	Heart (n=861)|Q1	Heart (n=861)|Q2	Heart (n=861)|Q3	Heart (n=861)|MAX	Uterus (n=142)|MIN	Uterus (n=142)|Q1	Uterus (n=142)|Q2	Uterus (n=142)|Q3	Uterus (n=142)|MAX	Vagina (n=156)|MIN	Vagina (n=156)|Q1	Vagina (n=156)|Q2	Vagina (n=156)|Q3	Vagina (n=156)|MAX	Breast (n=459)|MIN	Breast (n=459)|Q1	Breast (n=459)|Q2	Breast (n=459)|Q3	Breast (n=459)|MAX	Skin (n=1809)|MIN	Skin (n=1809)|Q1	Skin (n=1809)|Q2	Skin (n=1809)|Q3	Skin (n=1809)|MAX	Salivary Gland (n=162)|MIN	Salivary Gland (n=162)|Q1	Salivary Gland (n=162)|Q2	Salivary Gland (n=162)|Q3	Salivary Gland (n=162)|MAX	Brain (n=2642)|MIN	Brain (n=2642)|Q1	Brain (n=2642)|Q2	Brain (n=2642)|Q3	Brain (n=2642)|MAX	Adrenal Gland (n=258)|MIN	Adrenal Gland (n=258)|Q1	Adrenal Gland (n=258)|Q2	Adrenal Gland (n=258)|Q3	Adrenal Gland (n=258)|MAX	Thyroid (n=653)|MIN	Thyroid (n=653)|Q1	Thyroid (n=653)|Q2	Thyroid (n=653)|Q3	Thyroid (n=653)|MAX	Lung (n=578)|MIN	Lung (n=578)|Q1	Lung (n=578)|Q2	Lung (n=578)|Q3	Lung (n=578)|MAX	Spleen (n=241)|MIN	Spleen (n=241)|Q1	Spleen (n=241)|Q2	Spleen (n=241)|Q3	Spleen (n=241)|MAX	Pancreas (n=328)|MIN	Pancreas (n=328)|Q1	Pancreas (n=328)|Q2	Pancreas (n=328)|Q3	Pancreas (n=328)|MAX	Esophagus (n=1445)|MIN	Esophagus (n=1445)|Q1	Esophagus (n=1445)|Q2	Esophagus (n=1445)|Q3	Esophagus (n=1445)|MAX	Stomach (n=359)|MIN	Stomach (n=359)|Q1	Stomach (n=359)|Q2	Stomach (n=359)|Q3	Stomach (n=359)|MAX	Colon (n=779)|MIN	Colon (n=779)|Q1	Colon (n=779)|Q2	Colon (n=779)|Q3	Colon (n=779)|MAX	Small Intestine (n=187)|MIN	Small Intestine (n=187)|Q1	Small Intestine (n=187)|Q2	Small Intestine (n=187)|Q3	Small Intestine (n=187)|MAX	Prostate (n=245)|MIN	Prostate (n=245)|Q1	Prostate (n=245)|Q2	Prostate (n=245)|Q3	Prostate (n=245)|MAX	Testis (n=361)|MIN	Testis (n=361)|Q1	Testis (n=361)|Q2	Testis (n=361)|Q3	Testis (n=361)|MAX	Nerve (n=619)|MIN	Nerve (n=619)|Q1	Nerve (n=619)|Q2	Nerve (n=619)|Q3	Nerve (n=619)|MAX	Blood (n=929)|MIN	Blood (n=929)|Q1	Blood (n=929)|Q2	Blood (n=929)|Q3	Blood (n=929)|MAX	Pituitary (n=283)|MIN	Pituitary (n=283)|Q1	Pituitary (n=283)|Q2	Pituitary (n=283)|Q3	Pituitary (n=283)|MAX	Ovary (n=180)|MIN	Ovary (n=180)|Q1	Ovary (n=180)|Q2	Ovary (n=180)|Q3	Ovary (n=180)|MAX	Liver (n=226)|MIN	Liver (n=226)|Q1	Liver (n=226)|Q2	Liver (n=226)|Q3	Liver (n=226)|MAX	Kidney (n=89)|MIN	Kidney (n=89)|Q1	Kidney (n=89)|Q2	Kidney (n=89)|Q3	Kidney (n=89)|MAX	Cervix Uteri (n=19)|MIN	Cervix Uteri (n=19)|Q1	Cervix Uteri (n=19)|Q2	Cervix Uteri (n=19)|Q3	Cervix Uteri (n=19)|MAX	Fallopian Tube (n=9)|MIN	Fallopian Tube (n=9)|Q1	Fallopian Tube (n=9)|Q2	Fallopian Tube (n=9)|Q3	Fallopian Tube (n=9)|MAX	Bladder (n=21)|MIN	Bladder (n=21)|Q1	Bladder (n=21)|Q2	Bladder (n=21)|Q3	Bladder (n=21)|MAX
121	539	701	900	4359	1199	6055	7759	9765	35880	127	594	755	949	5801	147	1323	2010	3392	13947	295	742	970	1225	2841	233	719	911	1159	2456	258	712	972	1359	3414	102	773	1078	1436	8753	251	915	1127	1630	12976	46	400	574	824	4965	135	507	717	952	2430	283	1526	1932	2503	6384	70	450	601	783	3041	123	308	383	479	2010	448	1111	1345	1759	4291	133	749	955	1220	3922	160	845	1078	1336	3152	112	830	1069	1367	4389	128	435	574	748	2578	259	855	1081	1427	3612	22	319	410	527	1750	140	569	707	868	2288	2	36	70	155	2329	211	611	756	940	1878	231	917	1179	1452	2917	180	829	1276	1770	4515	586	1391	2031	2970	11210	484	621	821	1087	1566	473	684	815	1068	1975	411	624	1015	1303	2195
498	1448	1848	2271	10810	84	439	594	808	2742	339	1717	2105	2652	12885	71	621	813	1091	3127	1047	2143	2774	3599	9463	683	1447	1669	2049	4988	607	1349	1665	1969	5327	249	1420	1734	2115	5504	427	1011	1233	1478	2758	312	1684	2214	2902	12863	320	1367	1735	2161	4621	655	2307	2923	3881	12537	229	1344	1749	2209	4973	1227	1878	2190	2630	5877	190	621	773	1009	3143	583	1578	2101	2824	14504	511	877	1237	1745	7013	612	1381	1741	2152	11285	869	1419	1819	2243	4780	517	1422	1751	2098	6028	787	1440	1742	2214	7340	271	1603	1937	2333	5547	54	744	1389	2423	7288	863	2022	2468	2960	6324	1030	1679	2009	2359	4587	236	706	907	1136	2554	1059	1676	2289	3067	7122	1122	1332	1740	2054	2569	1359	1783	1869	2184	3896	1217	1793	1985	2513	3572
0	10	29	102	1392	0	4	10	20	224	0	18	46	116	1748	0	14	33	74	482	0	4	13	30	180	0	112	268	751	4017	0	20	56	156	1289	0	38	74	135	1431	24	618	1204	1735	4610	46	933	1884	3227	14166	0	10	20	38	852	10	349	660	1110	5547	0	24	44	86	924	2	19	36	64	264	4	68	108	183	684	0	65	142	302	3361	0	50	114	302	3501	2	84	183	347	2148	2	16	34	81	2163	12	300	635	1066	3295	34	118	154	210	1105	101	2716	3915	5632	19377	0	2	4	8	79	12	142	236	397	3590	0	43	86	200	1154	0	2	4	10	84	0	4	14	36	242	16	108	147	282	492	42	172	231	557	4294	4	20	44	78	209
535	4025	5994	8515	73989	95	570	787	1276	8377	54	875	1559	2809	19960	124	1421	2325	3954	22332	60	1052	1895	2995	16341	195	997	1937	3257	11574	694	3146	4517	6552	19164	134	976	1792	3020	21456	266	1575	2312	3493	11563	8	70	110	195	8833	39	510	726	1033	3135	109	1601	2326	3412	19874	74	1472	2540	4363	25277	52	271	434	723	3866	24	233	360	517	3925	62	968	2147	3670	26077	80	443	853	1987	11099	168	972	1747	2843	10753	282	848	1295	2279	14684	44	451	702	1153	8319	104	243	328	457	4008	616	5473	7804	10597	42891	0	9	16	41	4840	65	298	452	870	9387	942	3636	5842	8413	25909	284	2501	3992	5679	12633	48	254	459	878	3966	256	1639	2592	3315	6028	658	1370	2298	4722	12089	456	1513	2214	3313	6404
88	610	929	1362	12127	4	28	46	76	567	28	200	332	602	4712	21	194	299	464	2502	71	201	266	393	879	101	367	501	744	3683	97	610	1252	2221	7772	0	60	486	1001	8072	283	2481	3574	4763	11531	4	34	57	105	3330	376	2079	2921	4069	13055	636	2037	2751	3614	10180	150	1024	1462	2019	6427	729	1774	2457	3066	6619	554	2011	2728	3704	14347	39	310	890	1519	9691	321	1427	3230	4850	14842	231	840	1501	3415	50114	485	2054	3043	4226	10140	170	894	1345	1999	6857	261	4907	7091	9022	22455	369	1889	2556	3505	11646	72	1463	2767	5013	14923	71	378	485	712	3697	172	600	845	1192	3570	1330	4166	6080	7987	19130	149	1840	2633	3245	7302	244	288	559	1220	2057	256	387	480	707	934	282	363	618	818	1443
0	0	0	0	2	0	0	0	0	14	0	0	0	0	8	0	0	0	0	2	0	0	0	0	4	0	0	0	0	4	0	0	0	0	6	0	0	0	0	16	0	0	0	0	1	0	0	0	0	10	0	0	0	0	1	0	0	0	0	3	0	0	0	0	2	0	0	0	0	2	0	0	0	0	6	0	0	0	0	18	0	0	0	0	2	0	0	0	0	13	0	0	0	0	2	0	0	0	0	6	0	0	0	0	9	0	0	0	0	10	0	0	0	0	4	0	0	0	0	2	0	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
0	0	0	0	10	0	0	0	0	8	0	0	0	0	6	0	0	0	0	3	0	0	0	0	5	0	0	0	0	5	0	0	0	0	4	0	0	0	0	10	0	0	0	0	1	0	0	0	0	10	0	0	0	0	2	0	0	0	0	2	0	0	0	0	8	0	0	0	0	9	0	0	0	0	6	0	0	0	0	7	0	0	0	0	4	0	0	0	0	8	0	0	0	0	2	0	0	0	0	4	0	7	11	16	41	0	0	0	0	6	0	0	0	0	6	0	0	0	0	2	0	0	0	0	4	0	0	0	0	13	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	2
0	2	4	11	178386	0	1	3	7	310	0	1	3	8	2132	0	0	2	7	5364	0	3	7	15	308	0	3	7	15	278	0	3	7	16	1414	0	2	5	11	941	0	4	9	16	395	0	4	15	160	2952	65	632	1114	2106	25416	1	34	63	120	1318	0	1	3	8	37141	0	5	10	17	266	1	271	667	1224	34582	0	3	8	18	20980	0	3403	112231	197909	876159	0	2	7	14	16979	0	6	12	22	152	0	2	6	16	330	10	138	185	235	477	0	1	3	8	2259	0	1	3	17	1194	0	13	27	58	3495	0	5	11	19	163	0	3	10	20	1090	0	2	4	11	28	0	2	8	23	151	1	4	6	19	24	0	2	11	19	93
20	187	305	563	16796	0	22	37	66	587	8	111	204	376	6377	7	87	141	236	2088	10	51	79	128	2236	8	61	107	207	1014	30	142	205	283	1622	0	14	28	54	1672	10	57	112	176	3080	2	83	153	295	3732	10	46	71	108	601	23	109	172	283	12752	88	936	1646	2952	19944	1113	8424	11833	15997	49443	0	18	34	60	814	4	46	79	146	5480	9	46	87	197	2890	7	52	103	201	4550	4	205	887	2963	13360	14	78	123	201	1250	14	43	67	107	9304	41	202	288	422	2453	272	26100	68738	158931	712172	187	887	1424	2234	8705	4	22	39	74	578	42	137	188	291	2070	29	102	167	310	2915	19	64	108	120	282	42	77	228	611	1703	25	78	187	387	1744
0	0	2	8	126	0	2	6	13	585	0	0	1	4	254	0	4	8	16	154	0	0	0	3	16	0	1	3	6	109	0	0	2	5	329	0	0	2	4	270	0	21	63	110	352	49	691	1210	2832	24524	0	2	8	115	3614	0	6	14	28	135	0	4	14	42	451	0	0	3	14	359	0	4	9	18	90	0	2	6	12	91	0	4	8	16	80	0	4	9	16	114	0	2	4	12	126	0	1	4	6	38	5	112	164	239	897	0	4	8	14	309	0	0	0	2	59	30	365	534	739	2391	0	0	1	3	46	0	8	19	44	313	0	32	61	86	257	0	0	2	9	63	3	7	10	71	519	0	0	2	4	10
